A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
0,10,17,0,0,0,0,0,0,0,0,49,0,0,0
0,24,19,49,22,37,19,0,0,0,99,0,4,0,0
0,16,2,49,38,86,6,99,0,0,0,49,19,0,0
0,26,39,49,0,0,0,0,0,0,0,49,9,5,0
99,23,4,0,22,37,0,0,0,0,0,49,11,0,0
99,11,0,0,53,86,0,0,0,0,0,49,13,0,0
99,26,54,49,53,37,1,99,0,0,0,49,5,0,0
99,35,6,0,53,49,0,99,0,0,99,49,8,0,0
0,16,15,49,60,37,3,0,0,0,99,49,17,0,0
99,33,13,49,60,37,4,99,0,0,99,49,9,0,0
99,27,14,0,91,37,5,0,0,0,99,49,5,0,0
0,25,37,49,76,86,0,0,99,17,99,49,6,0,0
99,61,54,49,68,99,0,99,99,29,0,49,7,0,0
99,16,44,49,60,37,3,99,0,0,99,49,12,0,0
99,12,1,49,22,37,0,0,0,0,99,49,13,0,0
99,34,7,49,15,37,0,0,0,0,99,49,10,0,0
99,17,45,49,91,37,1,0,0,0,0,49,0,0,0
99,9,0,49,76,37,0,0,0,0,0,49,9,0,0
99,72,24,49,68,99,0,0,0,0,0,49,0,0,0
99,39,11,49,45,37,12,0,0,0,99,0,19,0,0
0,3,0,49,38,37,0,0,0,0,0,49,9,0,0
99,23,2,49,60,37,1,0,99,1,0,49,16,2,0
99,30,15,49,38,37,3,99,0,0,99,49,11,0,0
0,13,38,0,76,37,10,99,0,0,99,49,13,0,0
99,15,7,49,68,12,0,0,99,2,0,49,15,1,0
99,30,4,49,15,49,0,0,0,0,99,49,21,4,0
99,18,3,49,22,37,1,0,99,2,99,49,8,0,0
99,9,3,49,76,37,5,0,0,0,0,49,5,0,0
0,65,7,49,0,0,22,0,99,1,0,49,0,0,0
99,24,3,0,15,49,1,99,99,14,99,49,6,0,0
0,14,40,0,22,86,10,0,0,0,99,49,0,0,0
99,27,49,0,0,0,0,0,99,2,0,49,7,0,0
99,29,1,0,91,37,0,0,0,0,0,49,8,0,0
99,14,1,0,60,37,9,99,99,8,99,49,10,0,0
99,4,1,0,22,37,1,0,0,0,0,0,9,0,0
0,10,30,49,53,37,0,0,0,0,0,49,0,0,0
99,26,17,0,38,37,29,99,0,0,0,49,0,0,0
99,11,34,49,53,37,0,99,0,0,0,49,6,0,0
99,9,0,49,53,37,0,0,0,0,0,99,9,0,0
0,17,47,0,0,0,6,0,99,1,99,49,9,0,0
99,38,1,49,45,37,0,99,0,0,0,0,14,0,0
99,56,7,0,0,0,5,0,0,0,0,49,5,0,0
0,16,38,0,38,37,15,99,0,0,0,49,5,0,0
99,23,2,0,53,37,0,0,0,0,0,49,11,0,0
99,6,23,0,45,37,0,0,0,0,0,49,6,0,0
0,12,41,49,22,86,0,0,0,0,0,49,15,0,0
99,5,35,49,60,86,0,0,99,1,0,49,5,0,0
99,31,8,0,60,37,10,0,0,0,0,0,9,0,0
99,22,12,49,60,37,12,99,99,4,99,49,16,0,0
99,11,2,0,83,74,2,0,0,0,99,49,6,0,0
99,6,36,49,53,86,3,0,0,0,0,49,15,0,0
99,21,10,49,60,37,2,0,0,0,99,49,14,0,0
99,13,40,49,15,37,1,0,0,0,0,49,0,0,0
0,26,12,49,7,37,10,99,0,0,99,49,14,0,0
0,20,5,49,0,0,0,0,0,0,0,49,16,0,0
0,6,35,49,60,37,3,0,99,1,0,49,5,0,0
0,21,3,49,76,37,3,99,99,2,99,49,8,0,0
99,12,1,49,53,37,0,0,0,0,0,49,17,0,0
0,47,3,49,76,37,0,0,0,0,99,49,13,0,0
0,14,2,0,0,0,0,0,0,0,0,49,5,0,0
0,6,1,49,53,37,6,0,99,1,99,49,3,0,0
99,28,8,0,60,37,24,0,0,0,99,49,13,0,0
0,13,1,49,76,37,2,0,0,0,0,0,7,0,0
99,31,3,49,45,37,4,0,0,0,0,0,1,0,0
99,26,8,49,38,37,26,99,0,0,99,49,25,0,0
99,29,9,49,15,49,0,0,0,0,0,49,8,0,0
